"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,0,2417,0.00557307805866,"20170216_FGF60min_noBSA",0,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,1,2418,0.00546852638945,"20170216_FGF60min_noBSA",2,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,2,2419,0.00549774756655,"20170216_FGF60min_noBSA",4,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,3,2420,0.00552031164989,"20170216_FGF60min_noBSA",6,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,4,2421,0.00552216963843,"20170216_FGF60min_noBSA",8,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,5,2422,0.00553036713973,"20170216_FGF60min_noBSA",10,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,6,2423,0.00555602088571,"20170216_FGF60min_noBSA",12,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,7,2424,0.00555991660804,"20170216_FGF60min_noBSA",14,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,8,2425,0.00558243039995,"20170216_FGF60min_noBSA",16,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,9,2426,0.00561204133555,"20170216_FGF60min_noBSA",18,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,10,2427,0.00521381711587,"20170216_FGF60min_noBSA",20,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,11,2428,0.00564768444747,"20170216_FGF60min_noBSA",22,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,12,2429,0.0056247911416,"20170216_FGF60min_noBSA",24,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,13,2430,0.00566488318145,"20170216_FGF60min_noBSA",26,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,14,2431,0.00568185700104,"20170216_FGF60min_noBSA",28,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,15,2432,0.00562587752938,"20170216_FGF60min_noBSA",30,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,16,2433,0.00568652106449,"20170216_FGF60min_noBSA",32,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,17,2434,0.00570642249659,"20170216_FGF60min_noBSA",34,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,18,2435,0.00578678539023,"20170216_FGF60min_noBSA",36,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,19,2436,0.00575961451977,"20170216_FGF60min_noBSA",38,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,20,2437,0.00576383713633,"20170216_FGF60min_noBSA",40,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,21,2438,0.00585735868663,"20170216_FGF60min_noBSA",42,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,22,2439,0.08693241328,"20170216_FGF60min_noBSA",44,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,23,2440,0.11915641278,"20170216_FGF60min_noBSA",46,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,24,2441,0.107355184853,"20170216_FGF60min_noBSA",48,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,25,2442,0.119816444814,"20170216_FGF60min_noBSA",50,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,26,2443,0.119988277555,"20170216_FGF60min_noBSA",52,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,27,2444,0.110677570105,"20170216_FGF60min_noBSA",54,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,28,2445,0.120288573205,"20170216_FGF60min_noBSA",56,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,29,2446,0.119887553155,"20170216_FGF60min_noBSA",58,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,30,2447,0.120429947972,"20170216_FGF60min_noBSA",60,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,31,2448,0.120543137193,"20170216_FGF60min_noBSA",62,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,32,2449,0.110660128295,"20170216_FGF60min_noBSA",64,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,33,2450,0.12080296129,"20170216_FGF60min_noBSA",66,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,34,2451,0.120918177068,"20170216_FGF60min_noBSA",68,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,35,2452,0.12100866437,"20170216_FGF60min_noBSA",70,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,36,2453,0.121124565601,"20170216_FGF60min_noBSA",72,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,37,2454,0.121233440936,"20170216_FGF60min_noBSA",74,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,38,2455,0.121205322444,"20170216_FGF60min_noBSA",76,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,39,2456,0.120976082981,"20170216_FGF60min_noBSA",78,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
0,40,2457,0.121448963881,"20170216_FGF60min_noBSA",80,"Ch01: FGF 250 ng/ml 60min pulse","S00: FGF 250 ng/ml 60min pulse"
