"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
1,0,182,0.00580633152276,"20170221_FGF_60min_coll_ow",0,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,1,183,0.00591838499531,"20170221_FGF_60min_coll_ow",2,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,2,184,0.0059291026555,"20170221_FGF_60min_coll_ow",4,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,3,185,0.00595141807571,"20170221_FGF_60min_coll_ow",6,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,4,186,0.00602342700586,"20170221_FGF_60min_coll_ow",8,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,5,187,0.00593989854679,"20170221_FGF_60min_coll_ow",10,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,6,188,0.00598557805642,"20170221_FGF_60min_coll_ow",12,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,7,189,0.00599084747955,"20170221_FGF_60min_coll_ow",14,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,8,190,0.00601784791797,"20170221_FGF_60min_coll_ow",16,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,9,191,0.00601962441579,"20170221_FGF_60min_coll_ow",18,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,10,192,0.00603801617399,"20170221_FGF_60min_coll_ow",20,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,11,193,0.00603647716343,"20170221_FGF_60min_coll_ow",22,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,12,194,0.00605111615732,"20170221_FGF_60min_coll_ow",24,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,13,195,0.00607788562775,"20170221_FGF_60min_coll_ow",26,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,14,196,0.00607706233859,"20170221_FGF_60min_coll_ow",28,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,15,197,0.00605849875137,"20170221_FGF_60min_coll_ow",30,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,16,198,0.00609502382576,"20170221_FGF_60min_coll_ow",32,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,17,199,0.006108189933,"20170221_FGF_60min_coll_ow",34,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,18,200,0.00569416675717,"20170221_FGF_60min_coll_ow",36,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,19,201,0.00612751580775,"20170221_FGF_60min_coll_ow",38,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,20,202,0.00613139104098,"20170221_FGF_60min_coll_ow",40,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,21,203,0.00615921476856,"20170221_FGF_60min_coll_ow",42,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,22,204,0.0823656022549,"20170221_FGF_60min_coll_ow",44,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,23,205,0.107323810458,"20170221_FGF_60min_coll_ow",46,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,24,206,0.107613451779,"20170221_FGF_60min_coll_ow",48,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,25,207,0.107796192169,"20170221_FGF_60min_coll_ow",50,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,26,208,0.107902646065,"20170221_FGF_60min_coll_ow",52,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,27,209,0.108014635742,"20170221_FGF_60min_coll_ow",54,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,28,210,0.108096435666,"20170221_FGF_60min_coll_ow",56,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,29,211,0.108191639185,"20170221_FGF_60min_coll_ow",58,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,30,212,0.108232200146,"20170221_FGF_60min_coll_ow",60,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,31,213,0.105369344354,"20170221_FGF_60min_coll_ow",62,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,32,214,0.0111184865236,"20170221_FGF_60min_coll_ow",64,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
1,33,215,0.00657649943605,"20170221_FGF_60min_coll_ow",66,"Ch01: FGF 250 ng/ml 20min pulse","S01: FGF 250 ng/ml 20min pulse"
