"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,0.00504441745579,"20170223_FGF_3min_coll",0,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,1,2,0.00556447729468,"20170223_FGF_3min_coll",2,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,2,3,0.00500609353185,"20170223_FGF_3min_coll",4,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,3,4,0.0055520767346,"20170223_FGF_3min_coll",6,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,4,5,0.00558472564444,"20170223_FGF_3min_coll",8,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,5,6,0.00557709578425,"20170223_FGF_3min_coll",10,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,6,7,0.00557091692463,"20170223_FGF_3min_coll",12,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,7,8,0.00514230318367,"20170223_FGF_3min_coll",14,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,8,9,0.0055997078307,"20170223_FGF_3min_coll",16,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,9,10,0.00560719380155,"20170223_FGF_3min_coll",18,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,10,11,0.00563509017229,"20170223_FGF_3min_coll",20,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,11,12,0.005645041354,"20170223_FGF_3min_coll",22,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,12,13,0.00557735562325,"20170223_FGF_3min_coll",24,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,13,14,0.00551543803886,"20170223_FGF_3min_coll",26,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,14,15,0.00567273702472,"20170223_FGF_3min_coll",28,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,15,16,0.00568550638855,"20170223_FGF_3min_coll",30,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,16,17,0.00569228315726,"20170223_FGF_3min_coll",32,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,17,18,0.00572121422738,"20170223_FGF_3min_coll",34,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,18,19,0.00561546860263,"20170223_FGF_3min_coll",36,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,19,20,0.00539807463065,"20170223_FGF_3min_coll",38,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,20,21,0.00565554155037,"20170223_FGF_3min_coll",40,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,21,22,0.0060408920981,"20170223_FGF_3min_coll",42,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,22,23,0.044273622334,"20170223_FGF_3min_coll",44,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,23,24,0.116775386035,"20170223_FGF_3min_coll",46,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,24,25,0.00822102464736,"20170223_FGF_3min_coll",48,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,25,26,0.0060441060923,"20170223_FGF_3min_coll",50,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,26,27,0.00600932212546,"20170223_FGF_3min_coll",52,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,27,28,0.00583561137319,"20170223_FGF_3min_coll",54,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,28,29,0.00592880696058,"20170223_FGF_3min_coll",56,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,29,30,0.00595074892044,"20170223_FGF_3min_coll",58,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,30,31,0.00596364308149,"20170223_FGF_3min_coll",60,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,31,32,0.00597817450762,"20170223_FGF_3min_coll",62,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
0,32,33,0.00599722005427,"20170223_FGF_3min_coll",64,"Ch01: FGF 250 ng/ml 3'","S00: FGF 250 ng/ml 3'"
