"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,0,2,1209.76690098025,"00_0002",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,3,1132.31726792279,"00_0003",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,4,1140.52619640105,"00_0004",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,6,1169.11607433501,"00_0006",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,9,1227.29578075003,"00_0009",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,10,1159.19820848335,"00_0010",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,11,1191.00470850023,"00_0011",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,12,1208.31160011398,"00_0012",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,14,1153.02010528858,"00_0014",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,18,1241.52028491046,"00_0018",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,20,1207.08606211344,"00_0020",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,24,1168.84941989638,"00_0024",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,25,1168.28140413735,"00_0025",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,27,1129.87817110334,"00_0027",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,28,1167.19694524046,"00_0028",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,29,1196.70228681172,"00_0029",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,30,1237.59267158742,"00_0030",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
0,0,32,1206.42100162506,"00_0032",0,"Ch01: FGF 250 ng/ml 5'","S00: FGF 250 ng/ml 5'"
