"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,0.0058046723716,"20170629_10min_FGF250_25_2-5_0-25_coll",0,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,1,2,0.00543058896437,"20170629_10min_FGF250_25_2-5_0-25_coll",2,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,2,3,0.00592975411564,"20170629_10min_FGF250_25_2-5_0-25_coll",4,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,3,4,0.00590517139062,"20170629_10min_FGF250_25_2-5_0-25_coll",6,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,4,5,0.00600606529042,"20170629_10min_FGF250_25_2-5_0-25_coll",8,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,5,6,0.00593574624509,"20170629_10min_FGF250_25_2-5_0-25_coll",10,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,6,7,0.00599996047094,"20170629_10min_FGF250_25_2-5_0-25_coll",12,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,7,8,0.00548151182011,"20170629_10min_FGF250_25_2-5_0-25_coll",14,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,8,9,0.0059780725278,"20170629_10min_FGF250_25_2-5_0-25_coll",16,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,9,10,0.00595905864611,"20170629_10min_FGF250_25_2-5_0-25_coll",18,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,10,11,0.00606612162665,"20170629_10min_FGF250_25_2-5_0-25_coll",20,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,11,12,0.00606155022979,"20170629_10min_FGF250_25_2-5_0-25_coll",22,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,12,13,0.006089232862,"20170629_10min_FGF250_25_2-5_0-25_coll",24,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,13,14,0.00609941035509,"20170629_10min_FGF250_25_2-5_0-25_coll",26,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,14,15,0.0061118924059,"20170629_10min_FGF250_25_2-5_0-25_coll",28,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,15,16,0.00601004296914,"20170629_10min_FGF250_25_2-5_0-25_coll",30,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,16,17,0.00615396723151,"20170629_10min_FGF250_25_2-5_0-25_coll",32,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,17,18,0.00616347277537,"20170629_10min_FGF250_25_2-5_0-25_coll",34,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,18,19,0.00607534870505,"20170629_10min_FGF250_25_2-5_0-25_coll",36,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,19,20,0.00620427029207,"20170629_10min_FGF250_25_2-5_0-25_coll",38,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,20,21,0.00613959785551,"20170629_10min_FGF250_25_2-5_0-25_coll",40,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,21,22,0.00605950830504,"20170629_10min_FGF250_25_2-5_0-25_coll",42,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,22,23,0.0646069794893,"20170629_10min_FGF250_25_2-5_0-25_coll",44,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,23,24,0.0707810223103,"20170629_10min_FGF250_25_2-5_0-25_coll",46,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,24,25,0.0716484934092,"20170629_10min_FGF250_25_2-5_0-25_coll",48,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,25,26,0.0704768523574,"20170629_10min_FGF250_25_2-5_0-25_coll",50,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,26,27,0.0711933076382,"20170629_10min_FGF250_25_2-5_0-25_coll",52,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,27,28,0.00870578270406,"20170629_10min_FGF250_25_2-5_0-25_coll",54,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,28,29,0.00651260698214,"20170629_10min_FGF250_25_2-5_0-25_coll",56,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,29,30,0.0064077093266,"20170629_10min_FGF250_25_2-5_0-25_coll",58,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,30,31,0.00638575013727,"20170629_10min_FGF250_25_2-5_0-25_coll",60,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,31,32,0.00571113592014,"20170629_10min_FGF250_25_2-5_0-25_coll",62,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,32,33,0.00579267088324,"20170629_10min_FGF250_25_2-5_0-25_coll",64,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,33,34,0.00639648549259,"20170629_10min_FGF250_25_2-5_0-25_coll",66,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,34,35,0.00639758398756,"20170629_10min_FGF250_25_2-5_0-25_coll",68,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,35,36,0.00638989778236,"20170629_10min_FGF250_25_2-5_0-25_coll",70,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,36,37,0.00590281002223,"20170629_10min_FGF250_25_2-5_0-25_coll",72,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,37,38,0.00629955530167,"20170629_10min_FGF250_25_2-5_0-25_coll",74,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,38,39,0.00641177175567,"20170629_10min_FGF250_25_2-5_0-25_coll",76,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,39,40,0.00625096959993,"20170629_10min_FGF250_25_2-5_0-25_coll",78,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,40,41,0.00634033232927,"20170629_10min_FGF250_25_2-5_0-25_coll",80,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,41,42,0.00643408717588,"20170629_10min_FGF250_25_2-5_0-25_coll",82,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,42,43,0.00644175568596,"20170629_10min_FGF250_25_2-5_0-25_coll",84,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,43,44,0.00643175141886,"20170629_10min_FGF250_25_2-5_0-25_coll",86,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,44,45,0.00631568161771,"20170629_10min_FGF250_25_2-5_0-25_coll",88,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,45,46,0.00646949652582,"20170629_10min_FGF250_25_2-5_0-25_coll",90,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,46,47,0.00639632437378,"20170629_10min_FGF250_25_2-5_0-25_coll",92,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,47,48,0.0063094352372,"20170629_10min_FGF250_25_2-5_0-25_coll",94,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,48,49,0.00575520703569,"20170629_10min_FGF250_25_2-5_0-25_coll",96,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,49,50,0.00596648035571,"20170629_10min_FGF250_25_2-5_0-25_coll",98,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,50,51,0.00632901256904,"20170629_10min_FGF250_25_2-5_0-25_coll",100,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,51,52,0.00650310050696,"20170629_10min_FGF250_25_2-5_0-25_coll",102,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,52,53,0.00649544084445,"20170629_10min_FGF250_25_2-5_0-25_coll",104,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,53,54,0.0064852447249,"20170629_10min_FGF250_25_2-5_0-25_coll",106,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,54,55,0.00641715526581,"20170629_10min_FGF250_25_2-5_0-25_coll",108,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,55,56,0.00652600405738,"20170629_10min_FGF250_25_2-5_0-25_coll",110,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,56,57,0.00653163716197,"20170629_10min_FGF250_25_2-5_0-25_coll",112,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,57,58,0.00653754966334,"20170629_10min_FGF250_25_2-5_0-25_coll",114,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,58,59,0.00641103694215,"20170629_10min_FGF250_25_2-5_0-25_coll",116,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,59,60,0.00644227769226,"20170629_10min_FGF250_25_2-5_0-25_coll",118,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,60,61,0.00653004646301,"20170629_10min_FGF250_25_2-5_0-25_coll",120,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,61,62,0.00652921898291,"20170629_10min_FGF250_25_2-5_0-25_coll",122,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,62,63,0.00584273645654,"20170629_10min_FGF250_25_2-5_0-25_coll",124,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,63,64,0.0065330658108,"20170629_10min_FGF250_25_2-5_0-25_coll",126,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,64,65,0.0065251570195,"20170629_10min_FGF250_25_2-5_0-25_coll",128,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,65,66,0.00654398836195,"20170629_10min_FGF250_25_2-5_0-25_coll",130,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,66,67,0.00654955022037,"20170629_10min_FGF250_25_2-5_0-25_coll",132,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,67,68,0.0063674012199,"20170629_10min_FGF250_25_2-5_0-25_coll",134,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,68,69,0.00656129606068,"20170629_10min_FGF250_25_2-5_0-25_coll",136,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,69,70,0.00640798360109,"20170629_10min_FGF250_25_2-5_0-25_coll",138,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,70,71,0.0065571856685,"20170629_10min_FGF250_25_2-5_0-25_coll",140,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,71,72,0.00656543718651,"20170629_10min_FGF250_25_2-5_0-25_coll",142,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,72,73,0.00655776960775,"20170629_10min_FGF250_25_2-5_0-25_coll",144,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,73,74,0.00657138507813,"20170629_10min_FGF250_25_2-5_0-25_coll",146,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
0,74,75,0.00655620731413,"20170629_10min_FGF250_25_2-5_0-25_coll",148,"Ch01: FGF 250 ng/ml 10'","S00: FGF 250 ng/ml 10'"
