"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,0.00867972802371,"20170912_10min_EGF250_25_2-5_0-25",0,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,1,2,0.00872486364096,"20170912_10min_EGF250_25_2-5_0-25",2,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,2,3,0.00874448474497,"20170912_10min_EGF250_25_2-5_0-25",4,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,3,4,0.00873667374253,"20170912_10min_EGF250_25_2-5_0-25",6,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,4,5,0.00874438136816,"20170912_10min_EGF250_25_2-5_0-25",8,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,5,6,0.0087770903483,"20170912_10min_EGF250_25_2-5_0-25",10,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,6,7,0.00879070069641,"20170912_10min_EGF250_25_2-5_0-25",12,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,7,8,0.00880355387926,"20170912_10min_EGF250_25_2-5_0-25",14,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,8,9,0.00882509723306,"20170912_10min_EGF250_25_2-5_0-25",16,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,9,10,0.00886255782098,"20170912_10min_EGF250_25_2-5_0-25",18,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,10,11,0.00888475496322,"20170912_10min_EGF250_25_2-5_0-25",20,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,11,12,0.00891264062375,"20170912_10min_EGF250_25_2-5_0-25",22,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,12,13,0.00892318133265,"20170912_10min_EGF250_25_2-5_0-25",24,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,13,14,0.00895060412586,"20170912_10min_EGF250_25_2-5_0-25",26,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,14,15,0.00898726284504,"20170912_10min_EGF250_25_2-5_0-25",28,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,15,16,0.00901317130774,"20170912_10min_EGF250_25_2-5_0-25",30,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
0,16,17,0.00901532080024,"20170912_10min_EGF250_25_2-5_0-25",32,"Ch01: EGF  250 ng/ml 10min","S00: EGF  250 ng/ml 10min"
