"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,0.00873884838074,"20170919_10min_NGF250_25_2-5_0-25",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,2,0.00876331143081,"20170919_10min_NGF250_25_2-5_0-25",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,3,0.0088695269078,"20170919_10min_NGF250_25_2-5_0-25",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,4,0.00896737817675,"20170919_10min_NGF250_25_2-5_0-25",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,5,0.00905071571469,"20170919_10min_NGF250_25_2-5_0-25",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,6,0.0091087622568,"20170919_10min_NGF250_25_2-5_0-25",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,7,0.00912687834352,"20170919_10min_NGF250_25_2-5_0-25",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,7,8,0.00916257221252,"20170919_10min_NGF250_25_2-5_0-25",14,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,8,9,0.00919903162867,"20170919_10min_NGF250_25_2-5_0-25",16,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,9,10,0.00924208480865,"20170919_10min_NGF250_25_2-5_0-25",18,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,10,11,0.00930043775588,"20170919_10min_NGF250_25_2-5_0-25",20,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,11,12,0.00933533720672,"20170919_10min_NGF250_25_2-5_0-25",22,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,12,13,0.00935258343816,"20170919_10min_NGF250_25_2-5_0-25",24,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,13,14,0.00937926862389,"20170919_10min_NGF250_25_2-5_0-25",26,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,14,15,0.00941174943,"20170919_10min_NGF250_25_2-5_0-25",28,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,15,16,0.00944960769266,"20170919_10min_NGF250_25_2-5_0-25",30,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,16,17,0.00950021389872,"20170919_10min_NGF250_25_2-5_0-25",32,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,17,18,0.0095290588215,"20170919_10min_NGF250_25_2-5_0-25",34,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,18,19,0.00957169756293,"20170919_10min_NGF250_25_2-5_0-25",36,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,19,20,0.00962824374437,"20170919_10min_NGF250_25_2-5_0-25",38,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,20,21,0.00979419611394,"20170919_10min_NGF250_25_2-5_0-25",40,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,21,22,0.0104672564194,"20170919_10min_NGF250_25_2-5_0-25",42,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,22,23,0.0553246475756,"20170919_10min_NGF250_25_2-5_0-25",44,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,23,24,0.0851302072406,"20170919_10min_NGF250_25_2-5_0-25",46,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,24,25,0.0857510268688,"20170919_10min_NGF250_25_2-5_0-25",48,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,25,26,0.0859266743064,"20170919_10min_NGF250_25_2-5_0-25",50,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,26,27,0.0859875306487,"20170919_10min_NGF250_25_2-5_0-25",52,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,27,28,0.0441585592926,"20170919_10min_NGF250_25_2-5_0-25",54,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,28,29,0.0104033201933,"20170919_10min_NGF250_25_2-5_0-25",56,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,29,30,0.0101144388318,"20170919_10min_NGF250_25_2-5_0-25",58,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,30,31,0.0100995386019,"20170919_10min_NGF250_25_2-5_0-25",60,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,31,32,0.0101404851303,"20170919_10min_NGF250_25_2-5_0-25",62,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,32,33,0.0101187536493,"20170919_10min_NGF250_25_2-5_0-25",64,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,33,34,0.0101283676922,"20170919_10min_NGF250_25_2-5_0-25",66,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,34,35,0.0101581094787,"20170919_10min_NGF250_25_2-5_0-25",68,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,35,36,0.0101822186261,"20170919_10min_NGF250_25_2-5_0-25",70,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,36,37,0.010191610083,"20170919_10min_NGF250_25_2-5_0-25",72,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,37,38,0.0101879304275,"20170919_10min_NGF250_25_2-5_0-25",74,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,38,39,0.0101315416396,"20170919_10min_NGF250_25_2-5_0-25",76,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,39,40,0.0101490672678,"20170919_10min_NGF250_25_2-5_0-25",78,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,40,41,0.0101606249809,"20170919_10min_NGF250_25_2-5_0-25",80,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,41,42,0.0102040506899,"20170919_10min_NGF250_25_2-5_0-25",82,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,42,43,0.0102210398763,"20170919_10min_NGF250_25_2-5_0-25",84,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,43,44,0.0102738840505,"20170919_10min_NGF250_25_2-5_0-25",86,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,44,45,0.0103055033833,"20170919_10min_NGF250_25_2-5_0-25",88,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,45,46,0.0103263752535,"20170919_10min_NGF250_25_2-5_0-25",90,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,46,47,0.0103607289493,"20170919_10min_NGF250_25_2-5_0-25",92,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,47,48,0.0103588374332,"20170919_10min_NGF250_25_2-5_0-25",94,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,48,49,0.0103747984394,"20170919_10min_NGF250_25_2-5_0-25",96,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,49,50,0.0103893419728,"20170919_10min_NGF250_25_2-5_0-25",98,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,50,51,0.010428538546,"20170919_10min_NGF250_25_2-5_0-25",100,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,51,52,0.0104374680668,"20170919_10min_NGF250_25_2-5_0-25",102,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,52,53,0.0104439463466,"20170919_10min_NGF250_25_2-5_0-25",104,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,53,54,0.0104696843773,"20170919_10min_NGF250_25_2-5_0-25",106,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,54,55,0.0104999607429,"20170919_10min_NGF250_25_2-5_0-25",108,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,55,56,0.0105144260451,"20170919_10min_NGF250_25_2-5_0-25",110,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,56,57,0.0105441082269,"20170919_10min_NGF250_25_2-5_0-25",112,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,57,58,0.0105523383245,"20170919_10min_NGF250_25_2-5_0-25",114,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,58,59,0.0105416188017,"20170919_10min_NGF250_25_2-5_0-25",116,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,59,60,0.0105847604573,"20170919_10min_NGF250_25_2-5_0-25",118,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,60,61,0.0105975717306,"20170919_10min_NGF250_25_2-5_0-25",120,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,61,62,0.0106018939987,"20170919_10min_NGF250_25_2-5_0-25",122,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,62,63,0.0106203602627,"20170919_10min_NGF250_25_2-5_0-25",124,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,63,64,0.0106336763129,"20170919_10min_NGF250_25_2-5_0-25",126,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,64,65,0.0106475614011,"20170919_10min_NGF250_25_2-5_0-25",128,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,65,66,0.0106600774452,"20170919_10min_NGF250_25_2-5_0-25",130,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,66,67,0.0106752449647,"20170919_10min_NGF250_25_2-5_0-25",132,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,67,68,0.0106849400327,"20170919_10min_NGF250_25_2-5_0-25",134,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,68,69,0.0107292393222,"20170919_10min_NGF250_25_2-5_0-25",136,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,69,70,0.010748103261,"20170919_10min_NGF250_25_2-5_0-25",138,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,70,71,0.0107652693987,"20170919_10min_NGF250_25_2-5_0-25",140,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,71,72,0.0107836313546,"20170919_10min_NGF250_25_2-5_0-25",142,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,72,73,0.0108069917187,"20170919_10min_NGF250_25_2-5_0-25",144,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,73,74,0.0108146760613,"20170919_10min_NGF250_25_2-5_0-25",146,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
