"Metadata_Series","Metadata_T","TrackObjects_Label","Intensity_MeanIntensity_Ratio","TrackObjects_Label_uni","RealTime","Stim_All_Ch","Stim_All_S"
0,0,1,1213.1357744103,"00_0001",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,2,1222.99689452323,"00_0002",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,3,1254.72390952409,"00_0003",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,4,1244.20688266668,"00_0004",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,7,1182.55204028749,"00_0007",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,8,1211.21760552419,"00_0008",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,9,1240.01670645525,"00_0009",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,10,1213.82976143315,"00_0010",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,11,1234.50892484225,"00_0011",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,14,1292.96547125739,"00_0014",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,15,1204.31394085305,"00_0015",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,16,1210.3368684082,"00_0016",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,18,1241.86633364626,"00_0018",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,21,1159.81321114994,"00_0021",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,22,1273.53981916431,"00_0022",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,26,1167.71956567087,"00_0026",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,29,1215.24812931527,"00_0029",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,33,1197.21382674475,"00_0033",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,34,1184.24880414788,"00_0034",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,38,1216.88916056523,"00_0038",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,39,1217.70690668846,"00_0039",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,40,1222.78203629263,"00_0040",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,0,41,1201.5858608512,"00_0041",0,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,1,1199.28451304235,"00_0001",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,2,1221.03993241972,"00_0002",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,3,1248.95623393186,"00_0003",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,4,1219.02263319227,"00_0004",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,7,1179.14219237537,"00_0007",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,8,1201.95333572914,"00_0008",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,9,1222.67827395175,"00_0009",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,10,1206.43773251488,"00_0010",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,11,1223.88194565326,"00_0011",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,14,1283.98913656476,"00_0014",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,15,1211.11443947619,"00_0015",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,16,1181.91452385398,"00_0016",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,18,1244.97897698627,"00_0018",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,21,1163.26613578969,"00_0021",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,22,1253.99395293923,"00_0022",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,26,1168.37530507216,"00_0026",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,29,1210.73946755149,"00_0029",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,33,1194.10909551364,"00_0033",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,34,1177.98192324431,"00_0034",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,38,1236.13478284409,"00_0038",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,39,1227.89734193814,"00_0039",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,40,1207.4616063657,"00_0040",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,1,41,1189.96720343554,"00_0041",2,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,1,1199.26346235313,"00_0001",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,2,1220.31143610101,"00_0002",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,3,1258.49586291001,"00_0003",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,4,1226.68046425267,"00_0004",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,7,1193.1823818735,"00_0007",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,8,1213.79144652277,"00_0008",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,9,1211.59458962973,"00_0009",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,10,1208.60027132633,"00_0010",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,11,1225.42465989333,"00_0011",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,14,1249.57469479158,"00_0014",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,15,1212.68774743982,"00_0015",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,16,1184.85906956114,"00_0016",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,18,1247.36009308701,"00_0018",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,21,1145.95482045233,"00_0021",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,22,1230.46570724911,"00_0022",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,26,1157.32107533312,"00_0026",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,29,1208.84966515061,"00_0029",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,33,1206.06225000426,"00_0033",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,34,1190.8285588047,"00_0034",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,38,1223.32565263805,"00_0038",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,39,1241.93403775084,"00_0039",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,40,1195.47269446449,"00_0040",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,2,41,1193.33011730647,"00_0041",4,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,1,1205.0196924795,"00_0001",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,2,1216.1520703125,"00_0002",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,3,1240.14526856693,"00_0003",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,4,1235.36657172309,"00_0004",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,7,1173.22254270158,"00_0007",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,8,1202.81035063538,"00_0008",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,9,1198.69550958081,"00_0009",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,10,1206.31509243278,"00_0010",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,11,1215.36317419157,"00_0011",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,14,1223.8413397572,"00_0014",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,15,1213.04211070237,"00_0015",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,16,1175.44550211175,"00_0016",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,18,1251.16874035624,"00_0018",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,21,1148.32711715524,"00_0021",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,22,1213.89364314425,"00_0022",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,26,1153.52338948998,"00_0026",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,29,1202.09241106374,"00_0029",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,33,1188.56870032365,"00_0033",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,34,1183.64164078989,"00_0034",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,38,1225.74150670743,"00_0038",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,39,1225.20437964324,"00_0039",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,40,1198.70998726639,"00_0040",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,3,41,1197.61811908252,"00_0041",6,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,1,1202.22092499604,"00_0001",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,2,1217.76459250465,"00_0002",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,3,1240.13446967368,"00_0003",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,4,1231.27795883705,"00_0004",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,7,1173.52044763098,"00_0007",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,8,1196.02317015593,"00_0008",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,9,1193.87044723654,"00_0009",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,10,1208.96211647211,"00_0010",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,11,1210.01784699369,"00_0011",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,14,1210.39078406605,"00_0014",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,15,1208.2991664267,"00_0015",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,16,1175.66703331581,"00_0016",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,18,1248.08216621506,"00_0018",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,21,1143.86857237135,"00_0021",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,22,1208.8402758573,"00_0022",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,26,1146.28953168765,"00_0026",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,29,1180.34938897693,"00_0029",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,33,1191.27716580009,"00_0033",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,34,1179.88243776013,"00_0034",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,38,1233.26107659112,"00_0038",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,39,1220.93595312276,"00_0039",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,40,1187.77758129572,"00_0040",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,4,41,1193.91363587927,"00_0041",8,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,1,1201.70483697291,"00_0001",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,2,1196.05622003203,"00_0002",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,3,1248.17479504244,"00_0003",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,4,1232.73783952099,"00_0004",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,7,1183.85112326486,"00_0007",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,8,1195.62795516085,"00_0008",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,9,1186.66836892991,"00_0009",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,10,1188.45530585523,"00_0010",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,11,1199.04894347761,"00_0011",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,14,1193.9088220429,"00_0014",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,16,1184.62482641602,"00_0016",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,15,1206.79830550338,"00_0015",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,18,1248.12666015625,"00_0018",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,21,1141.06824533199,"00_0021",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,22,1208.57924604082,"00_0022",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,26,1157.9472110358,"00_0026",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,29,1184.30653161669,"00_0029",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,33,1190.73796517508,"00_0033",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,34,1166.55873486004,"00_0034",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,38,1230.76083476739,"00_0038",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,39,1209.04633863045,"00_0039",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,40,1197.37106454219,"00_0040",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,5,41,1197.90346613977,"00_0041",10,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,1,1201.05388780491,"00_0001",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,2,1199.35389392503,"00_0002",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,3,1250.96785843461,"00_0003",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,4,1228.20471783731,"00_0004",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,7,1166.10827137016,"00_0007",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
0,6,8,1193.02802823439,"00_0008",12,"Ch01: NGF  250 ng/ml 10min","S00: NGF  250 ng/ml 10min"
