"id","group","realtime","y"
"000_0001","Ch01: NGF  250 ng/ml 10min",0,0.998344567666494
"000_0001","Ch01: NGF  250 ng/ml 10min",2,0.986945735125476
"000_0001","Ch01: NGF  250 ng/ml 10min",4,0.98692841155653
"000_0001","Ch01: NGF  250 ng/ml 10min",6,0.991665474957116
"000_0001","Ch01: NGF  250 ng/ml 10min",8,0.989362241986649
"000_0001","Ch01: NGF  250 ng/ml 10min",10,0.988937529695414
"000_0001","Ch01: NGF  250 ng/ml 10min",12,0.988401834038416
"000_0001","Ch01: NGF  250 ng/ml 10min",14,0.985952539253706
"000_0001","Ch01: NGF  250 ng/ml 10min",16,0.991463780406107
"000_0001","Ch01: NGF  250 ng/ml 10min",18,0.997869057862642
"000_0001","Ch01: NGF  250 ng/ml 10min",20,1.01071906618005
"000_0001","Ch01: NGF  250 ng/ml 10min",22,0.991338023008394
"000_0001","Ch01: NGF  250 ng/ml 10min",24,1.00417438485145
"000_0001","Ch01: NGF  250 ng/ml 10min",26,1.00198827653823
"000_0001","Ch01: NGF  250 ng/ml 10min",28,1.00883373259486
"000_0001","Ch01: NGF  250 ng/ml 10min",30,1.01469321530843
"000_0001","Ch01: NGF  250 ng/ml 10min",32,1.01124635537461
"000_0001","Ch01: NGF  250 ng/ml 10min",34,1.01164028996561
"000_0001","Ch01: NGF  250 ng/ml 10min",36,1.0142120341235
"000_0001","Ch01: NGF  250 ng/ml 10min",38,1.01407529915094
"000_0001","Ch01: NGF  250 ng/ml 10min",40,1.01120815035537
"000_0001","Ch01: NGF  250 ng/ml 10min",42,1.02127527896325
"000_0001","Ch01: NGF  250 ng/ml 10min",44,1.03515975103871
"000_0001","Ch01: NGF  250 ng/ml 10min",46,1.16090396102467
"000_0001","Ch01: NGF  250 ng/ml 10min",48,1.2190907220971
"000_0001","Ch01: NGF  250 ng/ml 10min",50,1.22258966538406
"000_0001","Ch01: NGF  250 ng/ml 10min",52,1.21063561217107
"000_0001","Ch01: NGF  250 ng/ml 10min",54,1.18291179354284
"000_0001","Ch01: NGF  250 ng/ml 10min",56,1.13647908049275
"000_0001","Ch01: NGF  250 ng/ml 10min",58,1.1007290163605
"000_0001","Ch01: NGF  250 ng/ml 10min",60,1.13709528423336
"000_0001","Ch01: NGF  250 ng/ml 10min",62,1.12014370846854
"000_0001","Ch01: NGF  250 ng/ml 10min",64,1.10128073545083
"000_0001","Ch01: NGF  250 ng/ml 10min",66,1.14473796709553
"000_0001","Ch01: NGF  250 ng/ml 10min",68,1.15253696520346
"000_0001","Ch01: NGF  250 ng/ml 10min",70,1.13376529691749
"000_0001","Ch01: NGF  250 ng/ml 10min",72,1.10187888247403
"000_0001","Ch01: NGF  250 ng/ml 10min",74,1.08189773417177
"000_0001","Ch01: NGF  250 ng/ml 10min",76,1.10867317785141
"000_0001","Ch01: NGF  250 ng/ml 10min",78,1.11008275486205
"000_0001","Ch01: NGF  250 ng/ml 10min",80,1.11120146187608
"000_0001","Ch01: NGF  250 ng/ml 10min",82,1.13145679639941
"000_0001","Ch01: NGF  250 ng/ml 10min",84,1.13630911786031
"000_0001","Ch01: NGF  250 ng/ml 10min",86,1.12781336205084
"000_0001","Ch01: NGF  250 ng/ml 10min",88,1.12741749592988
"000_0001","Ch01: NGF  250 ng/ml 10min",90,1.10744436109513
"000_0001","Ch01: NGF  250 ng/ml 10min",92,1.06889226133684
"000_0001","Ch01: NGF  250 ng/ml 10min",94,1.03863003213933
"000_0001","Ch01: NGF  250 ng/ml 10min",96,1.04079757739999
"000_0001","Ch01: NGF  250 ng/ml 10min",98,1.05570530784549
"000_0001","Ch01: NGF  250 ng/ml 10min",100,1.0691456289307
"000_0001","Ch01: NGF  250 ng/ml 10min",102,1.12291032669915
"000_0001","Ch01: NGF  250 ng/ml 10min",104,1.11925497403588
"000_0001","Ch01: NGF  250 ng/ml 10min",106,1.11096854723432
"000_0001","Ch01: NGF  250 ng/ml 10min",108,1.10553083126901
"000_0001","Ch01: NGF  250 ng/ml 10min",110,1.09654324996585
"000_0001","Ch01: NGF  250 ng/ml 10min",112,1.08519485320781
"000_0001","Ch01: NGF  250 ng/ml 10min",114,1.08246228702326
"000_0001","Ch01: NGF  250 ng/ml 10min",116,1.09678954968607
"000_0001","Ch01: NGF  250 ng/ml 10min",118,1.11842873803316
"000_0001","Ch01: NGF  250 ng/ml 10min",120,1.11526671444844
"000_0001","Ch01: NGF  250 ng/ml 10min",122,1.13182393843879
"000_0001","Ch01: NGF  250 ng/ml 10min",124,1.16863770296081
"000_0001","Ch01: NGF  250 ng/ml 10min",126,1.16089429916691
"000_0001","Ch01: NGF  250 ng/ml 10min",128,1.14291906408258
"000_0001","Ch01: NGF  250 ng/ml 10min",130,1.10601695181835
"000_0001","Ch01: NGF  250 ng/ml 10min",132,1.10192910063692
"000_0001","Ch01: NGF  250 ng/ml 10min",134,1.08989929601191
"000_0001","Ch01: NGF  250 ng/ml 10min",136,1.0747345701711
"000_0001","Ch01: NGF  250 ng/ml 10min",138,1.05535147829724
"000_0001","Ch01: NGF  250 ng/ml 10min",140,1.06250375910928
"000_0001","Ch01: NGF  250 ng/ml 10min",142,1.07611229763706
"000_0001","Ch01: NGF  250 ng/ml 10min",144,1.1454192798264
"000_0001","Ch01: NGF  250 ng/ml 10min",146,1.17385286287109
"000_0001","Ch01: NGF  250 ng/ml 10min",148,1.13344210295879
"000_0001","Ch01: NGF  250 ng/ml 10min",150,1.11303706531937
"000_0001","Ch01: NGF  250 ng/ml 10min",152,1.09725102013654
"000_0001","Ch01: NGF  250 ng/ml 10min",154,1.0982928189342
"000_0001","Ch01: NGF  250 ng/ml 10min",156,1.08607404508421
"000_0001","Ch01: NGF  250 ng/ml 10min",158,1.09968493881554
"000_0001","Ch01: NGF  250 ng/ml 10min",160,1.13094962397344
